time,x,y,z,qw,qx,qy,qz,raw_roll,raw_pitch,raw_yaw,unwrapped_roll,unwrapped_pitch,unwrapped_yaw
3.705719,0.006199,-0.012461,-0.012153,0.012157,-0.02289,0.999634,-0.007803,-179.07397704527634,1.3722436223144499,-177.36540935409002,-179.07397704527634,1.3722436223144499,-177.36540935409002
3.711689,0.006061,-0.01246,-0.01227,0.013176,-0.023094,0.999618,-0.007494,-179.1063706631532,1.4896174712720396,-177.34146258015463,-179.1063706631532,1.4896174712720396,-177.34146258015463
3.719721,0.006124,-0.012527,-0.01226,0.01494,-0.023321,0.999593,-0.006855,-179.17448044298413,1.6932283282771035,-177.31480852786686,-179.17448044298413,1.6932283282771035,-177.31480852786686
3.723681,0.006155,-0.012559,-0.012255,0.015718,-0.023422,0.999581,-0.006481,-179.21505176134406,1.7832885792146924,-177.30318559065506,-179.21505176134406,1.7832885792146924,-177.30318559065506
3.725677,0.006185,-0.012591,-0.012252,0.016415,-0.023518,0.99957,-0.00609,-179.25778583952825,1.8641281276480814,-177.29229796575896,-179.25778583952825,1.8641281276480814,-177.29229796575896
3.729672,0.006057,-0.012027,-0.012421,0.016863,-0.024149,0.999552,-0.005406,-179.33374449603468,1.9168894713429179,-177.22088298823508,-179.33374449603468,1.9168894713429179,-177.22088298823508
3.735736,0.00608,-0.012053,-0.012426,0.017401,-0.024237,0.999542,-0.005038,-179.37423728664476,1.979495914369278,-177.21110482331528,-179.37423728664476,1.979495914369278,-177.21110482331528
3.739697,0.006102,-0.012081,-0.012436,0.017924,-0.024333,0.999532,-0.004712,-179.40993402540786,2.040270285696233,-177.200381175425,-179.40993402540786,2.040270285696233,-177.200381175425
3.74167,0.006123,-0.01211,-0.01245,0.018461,-0.024441,0.999521,-0.004417,-179.44200262689293,2.102562492717545,-177.18824400211025,-179.44200262689293,2.102562492717545,-177.18824400211025
3.74768,0.006143,-0.012141,-0.012467,0.01905,-0.024565,0.999508,-0.004167,-179.46871836966739,2.1706845499679694,-177.17417418247038,-179.46871836966739,2.1706845499679694,-177.17417418247038
3.753709,0.005951,-0.0119,-0.012604,0.019822,-0.024574,0.999493,-0.004166,-179.46661355204895,2.259136247534959,-177.17265026567532,-179.46661355204895,2.259136247534959,-177.17265026567532
3.755774,0.005961,-0.011928,-0.01263,0.020568,-0.024733,0.999475,-0.003963,-179.4873829961623,2.3451046137323064,-177.1544067793007,-179.4873829961623,2.3451046137323064,-177.1544067793007
3.761722,0.005977,-0.011989,-0.01269,0.022252,-0.025097,0.999431,-0.003599,-179.52335190455508,2.5389209262121946,-177.11250122998973,-179.52335190455508,2.5389209262121946,-177.11250122998973
3.765718,0.005981,-0.012023,-0.012723,0.023143,-0.025301,0.999406,-0.00344,-179.53844569300736,2.6413791527182786,-177.08897412120285,-179.53844569300736,2.6413791527182786,-177.08897412120285
