time,x,y,z
1781180474.0929112,34.779977053403854,-64.91684913635254,-929.1368722915649
1781180474.123919,34.82208400964737,-64.95147198438644,-929.3453693389893
1781180474.1547518,34.81733053922653,-64.98104333877563,-929.2672276496887
1781180474.1863563,34.7745381295681,-65.03003090620041,-929.0487170219421
1781180474.2181737,34.72144529223442,-64.96579200029373,-928.7774562835693
1781180474.248562,34.69500690698624,-64.90329653024673,-928.3494353294373
1781180474.2798145,34.79019179940224,-64.9474635720253,-928.9534091949463
1781180474.3107018,34.79224815964699,-64.99633193016052,-929.0294051170349
1781180474.341887,34.810569137334824,-64.95463103055954,-929.2360544204712
1781180474.3739336,34.763120114803314,-64.89173322916031,-928.909182548523
1781180474.4050238,34.74348783493042,-64.93998318910599,-928.8318157196045
1781180474.4357748,34.78066623210907,-64.98413532972336,-929.146945476532
1781180474.4670796,34.81803089380264,-64.98690694570541,-929.0677905082703
1781180474.498104,34.80533882975578,-64.92660194635391,-928.9700984954834
1781180474.5287087,34.83131155371666,-64.93497639894485,-929.0717244148254
1781180474.5601373,34.76203605532646,-64.89656865596771,-928.8814663887024
1781180474.5917983,34.78720039129257,-64.9842843413353,-929.2447566986084
1781180474.6224954,34.773387014865875,-64.98517096042633,-929.2588233947754
1781180474.653003,34.78067368268967,-65.00546634197235,-929.2129278182983
1781180474.6847038,34.746646881103516,-65.01306593418121,-929.3699860572815
1781180474.7154133,34.82646495103836,-64.98916447162628,-929.5238852500916
1781180474.7471824,34.8375029861927,-64.98415768146515,-929.5229911804199
1781180474.7788622,34.75314751267433,-64.90657478570938,-929.259181022644
1781180474.8098505,34.797441214323044,-64.93151187896729,-929.242193698883
1781180474.8408394,34.811485558748245,-65.0247260928154,-929.4856190681458
1781180474.8713799,34.832663834095,-65.01220911741257,-929.409384727478
1781180474.9032948,34.780554473400116,-64.92128223180771,-929.2474389076233
1781180474.9336035,34.83669087290764,-64.96569514274597,-929.3630719184875
1781180474.9649403,34.82772782444954,-64.99327719211578,-929.2991757392883
1781180474.996788,34.77891907095909,-64.97183442115784,-929.3926954269409
