time,x,y,z,qw,qx,qy,qz,raw_roll,raw_pitch,raw_yaw,unwrapped_roll,unwrapped_pitch,unwrapped_yaw
3.744879,0.016487,0.025959,0.015425,-0.046592,-0.002662,0.997085,-0.060367,-173.0698383643283,-5.3496706422269655,179.98177172691095,-173.0698383643283,-5.3496706422269655,-180.01822827308905
3.746886,0.016528,0.025958,0.015441,-0.04657,-0.002643,0.9971,-0.060128,-173.09726807239346,-5.34702167379681,179.9810298049497,-173.09726807239346,-5.34702167379681,-180.0189701950503
3.750902,0.016568,0.025954,0.015457,-0.046578,-0.002642,0.997114,-0.059892,-173.1244422447106,-5.347936112418942,179.98212906995533,-173.1244422447106,-5.347936112418942,-180.01787093004467
3.752841,0.016607,0.02595,0.015474,-0.046632,-0.002655,0.997125,-0.059663,-173.15084745158092,-5.354211877626106,179.98448096060926,-173.15084745158092,-5.354211877626106,-180.01551903939074
3.756942,0.016644,0.025943,0.015493,-0.046718,-0.002673,0.997135,-0.059436,-173.17704240963172,-5.364189099951669,179.98717960730883,-173.17704240963172,-5.364189099951669,-180.01282039269117
3.762872,0.0167,0.026,0.015732,-0.046971,-0.002724,0.99714,-0.059141,-173.21111760647182,-5.393508992684548,179.99289795837248,-173.21111760647182,-5.393508992684548,-180.00710204162752
3.766863,0.016739,0.025992,0.015766,-0.047081,-0.002753,0.997148,-0.05892,-173.23666057564057,-5.406304776292716,179.99667764068943,-173.23666057564057,-5.406304776292716,-180.00332235931057
3.768853,0.016776,0.025982,0.015802,-0.047183,-0.00279,0.997157,-0.058689,-173.26340702536928,-5.4182376013056315,-179.99850996274853,-173.26340702536928,-5.4182376013056315,-179.99850996274853
3.774882,0.016813,0.025971,0.015843,-0.047276,-0.002832,0.997167,-0.058444,-173.29179640854886,-5.429170392304548,-179.99298091269247,-173.29179640854886,-5.429170392304548,-179.99298091269247
3.77684,0.01685,0.025959,0.015889,-0.047347,-0.002886,0.997179,-0.058168,-173.3238212184079,-5.437656953273475,-179.9857519208132,-173.3238212184079,-5.437656953273475,-179.9857519208132
3.782861,0.016888,0.025987,0.016237,-0.047363,-0.002811,0.997195,-0.05788,-173.3565698129048,-5.438985377121002,-179.9928925656101,-173.3565698129048,-5.438985377121002,-179.9928925656101
3.788916,0.016961,0.025965,0.01638,-0.047422,-0.002923,0.997235,-0.057138,-173.44260682755987,-5.446472750921151,-179.97636538517582,-173.44260682755987,-5.446472750921151,-179.97636538517582
3.792879,0.016997,0.025952,0.016459,-0.047446,-0.002975,0.997259,-0.056701,-173.49321121703073,-5.449551230221844,-179.96815895736438,-173.49321121703073,-5.449551230221844,-179.96815895736438
3.79888,0.017033,0.025939,0.016544,-0.047463,-0.003025,0.997284,-0.056237,-173.5469045891466,-5.4518041375564,-179.9599861114467,-173.5469045891466,-5.4518041375564,-179.9599861114467
3.802902,0.017058,0.025897,0.016905,-0.04762,-0.002842,0.997315,-0.055566,-173.62309573725284,-5.468593665066781,-179.97832189698508,-173.62309573725284,-5.468593665066781,-179.97832189698508
3.806872,0.017097,0.025882,0.017012,-0.047623,-0.002888,0.997345,-0.055022,-173.68599520201516,-5.4692159336073916,-179.97006772155683,-173.68599520201516,-5.4692159336073916,-179.97006772155683
3.81096,0.017136,0.025866,0.017125,-0.047631,-0.002928,0.997375,-0.054451,-173.7519485837502,-5.470359801980088,-179.9623848592464,-173.7519485837502,-5.470359801980088,-179.9623848592464
3.812846,0.017176,0.025849,0.017244,-0.047643,-0.002957,0.997407,-0.05385,-173.82130883102406,-5.471890268761404,-179.9558233041623,-173.82130883102406,-5.471890268761404,-179.9558233041623
3.816841,0.017219,0.02583,0.017371,-0.047659,-0.002978,0.997441,-0.053212,-173.89489195478853,-5.473825351501288,-179.94999933405197,-173.89489195478853,-5.473825351501288,-179.94999933405197
3.82287,0.017216,0.025867,0.017697,-0.047903,-0.003085,0.997454,-0.052735,-173.95027092470696,-5.502400309644704,-179.93656991314015,-173.95027092470696,-5.502400309644704,-179.93656991314015
3.826856,0.017259,0.025847,0.017847,-0.047952,-0.003105,0.997489,-0.05202,-174.032684587386,-5.508086005157731,-179.9306105568046,-174.032684587386,-5.508086005157731,-179.9306105568046
3.834881,0.017352,0.025805,0.018178,-0.048096,-0.00317,0.997562,-0.050475,-174.21088199684777,-5.52485197600391,-179.91542530859948,-174.21088199684777,-5.52485197600391,-179.91542530859948
3.836898,0.017401,0.025782,0.01836,-0.048213,-0.003214,0.997598,-0.049627,-174.3086950230626,-5.538430809920706,-179.906329337412,-174.3086950230626,-5.538430809920706,-179.906329337412
3.8429,0.017373,0.025811,0.018615,-0.048454,-0.003148,0.997618,-0.048995,-174.38098826770306,-5.5656163077811085,-179.9117497433869,-174.38098826770306,-5.5656163077811085,-179.9117497433869
3.846874,0.017425,0.025786,0.018824,-0.048648,-0.003181,0.997654,-0.04806,-174.48873835038268,-5.587944941978856,-179.90379989765736,-174.48873835038268,-5.587944941978856,-179.90379989765736
3.848859,0.017479,0.025759,0.019046,-0.048865,-0.003205,0.997691,-0.04707,-174.60276928739782,-5.612847604550355,-179.89665597654593,-174.60276928739782,-5.612847604550355,-179.89665597654593
3.852904,0.017538,0.025729,0.019283,-0.049073,-0.003206,0.997729,-0.046019,-174.72367857860175,-5.6365748194212895,-179.89171100490108,-174.72367857860175,-5.6365748194212895,-179.89171100490108
3.858895,0.017603,0.025698,0.019534,-0.049255,-0.003177,0.997772,-0.044881,-174.85445918436574,-5.657158482837504,-179.8895331821359,-174.85445918436574,-5.657158482837504,-179.8895331821359
3.866928,0.017676,0.02565,0.020103,-0.049581,-0.002926,0.997866,-0.042385,-175.14025862984036,-5.693014123217515,-179.90576886756625,-175.14025862984036,-5.693014123217515,-179.90576886756625
3.87089,0.01776,0.025615,0.020402,-0.04962,-0.002795,0.997924,-0.040963,-175.3031964310479,-5.696730082039952,-179.91286816101118,-175.3031964310479,-5.696730082039952,-179.91286816101118
3.872842,0.01785,0.025579,0.020716,-0.049606,-0.002625,0.997987,-0.039435,-175.4781251234386,-5.6942172357086,-179.9235911966741,-175.4781251234386,-5.6942172357086,-179.9235911966741
3.876851,0.017948,0.025541,0.021046,-0.049538,-0.002418,0.998054,-0.037803,-175.66481721797396,-5.68538992544578,-179.93774454174732,-175.66481721797396,-5.68538992544578,-179.93774454174732
