time,x,y,z,tracker_x0,tracker_y0,tracker_z0,qw,qx,qy,qz,raw_roll,raw_pitch,raw_yaw,unwrapped_roll,unwrapped_pitch,unwrapped_yaw
3.780221,0.222079,0.036061,0.215868,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.036024,0.267013,-0.962865,0.017253,-179.1960996145311,-4.50729636373359,-149.03309470766374,180.8039003854689,-4.50729636373359,-149.03309470766374
3.7842,0.222032,0.036248,0.216387,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.036075,0.266994,-0.962868,0.017275,-179.19513829365127,-4.51359093765524,-149.03537050503505,180.80486170634873,-4.51359093765524,-149.03537050503505
3.78607,0.221986,0.036438,0.216914,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.036128,0.266965,-0.962874,0.017288,-179.19518734239875,-4.519823257004847,-149.03881139154095,180.80481265760125,-4.519823257004847,-149.03881139154095
3.790088,0.221942,0.036629,0.217447,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.036168,0.266937,-0.96288,0.017292,-179.19583823355404,-4.524342567385559,-149.04208494388075,180.80416176644596,-4.524342567385559,-149.04208494388075
3.796071,0.221897,0.036822,0.217988,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.036195,0.266917,-0.962884,0.017282,-179.1976774113255,-4.527001076123935,-149.04432341205546,180.8023225886745,-4.527001076123935,-149.04432341205546
3.802109,0.221854,0.037018,0.218536,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.036202,0.266899,-0.96289,0.017253,-179.20101800937414,-4.526875349725804,-149.04640649484634,180.79898199062586,-4.526875349725804,-149.04640649484634
3.804079,0.221813,0.037215,0.219093,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.036198,0.266881,-0.962896,0.017209,-179.20568128399938,-4.5250720495748,-149.0483869111252,180.79431871600062,-4.5250720495748,-149.0483869111252
3.810054,0.221735,0.037618,0.220223,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.036111,0.266859,-0.962908,0.017065,-179.2188526251518,-4.5110316437634195,-149.05057374383284,180.7811473748482,-4.5110316437634195,-149.05057374383284
3.814105,0.221699,0.037823,0.220798,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.03603,0.266851,-0.962915,0.016961,-179.2278457612811,-4.498889554160259,-149.0512310519136,180.7721542387189,-4.498889554160259,-149.0512310519136
3.820209,0.221665,0.038029,0.22138,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.035921,0.266845,-0.962923,0.016844,-179.2374298182647,-4.483257908188864,-149.05167052016859,180.7625701817353,-4.483257908188864,-149.05167052016859
3.822077,0.221633,0.038239,0.221967,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.035791,0.266837,-0.962932,0.016724,-179.24669294624533,-4.465210537360397,-149.05234035275356,180.75330705375467,-4.465210537360397,-149.05234035275356
3.826106,0.221604,0.038449,0.22256,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.035639,0.26683,-0.962941,0.016614,-179.25417967034912,-4.445037242742186,-149.05293878914864,180.74582032965088,-4.445037242742186,-149.05293878914864
3.830072,0.221576,0.038661,0.223158,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.035467,0.266822,-0.962951,0.016508,-179.26060661663666,-4.4227756965419305,-149.0537136417462,180.73939338336334,-4.4227756965419305,-149.0537136417462
3.840076,0.221529,0.039089,0.224368,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.035051,0.266811,-0.962973,0.016321,-179.2685128917055,-4.3710697216879675,-149.05499741750634,180.7314871082945,-4.3710697216879675,-149.05499741750634
3.844133,0.221507,0.039304,0.224982,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.03482,0.266812,-0.962983,0.016238,-179.2706294053147,-4.343002180439223,-149.05496150338155,180.7293705946853,-4.343002180439223,-149.05496150338155
3.84608,0.221486,0.039521,0.225602,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.034576,0.266815,-0.962992,0.016164,-179.27135997850934,-4.313772189709682,-149.05468001671423,180.72864002149066,-4.313772189709682,-149.05468001671423
3.850118,0.221466,0.039738,0.226229,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.034331,0.266823,-0.962999,0.016119,-179.2688726085625,-4.285322641210757,-149.05390492211177,180.7311273914375,-4.285322641210757,-149.05390492211177
3.854076,0.221797,0.038054,0.225207,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.035016,0.267096,-0.96293,0.014133,-179.51086333318815,-4.300397748007078,-149.01264202136593,180.48913666681185,-4.300397748007078,-149.01264202136593
3.858107,0.221791,0.038229,0.225807,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.034782,0.267107,-0.962935,0.01413,-179.5040645826941,-4.274450641192291,-149.01169560745424,180.4959354173059,-4.274450641192291,-149.01169560745424
3.866075,0.221779,0.038582,0.227023,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.034342,0.267121,-0.962947,0.014171,-179.4860906118013,-4.227093806368025,-149.0110140563635,180.5139093881987,-4.227093806368025,-149.0110140563635
3.870077,0.221774,0.038762,0.227639,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.034133,0.267126,-0.962952,0.014194,-179.47715557828823,-4.204702703543571,-149.0108021072613,180.52284442171177,-4.204702703543571,-149.0108021072613
3.874066,0.221843,0.0381,0.227607,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.034415,0.266414,-0.963143,0.013941,-179.51066955724303,-4.227754086450083,-149.0942059269353,180.48933044275697,-4.227754086450083,-149.0942059269353
3.878052,0.221841,0.038272,0.228218,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.034227,0.266414,-0.96315,0.013955,-179.50336758876557,-4.207404642348376,-149.09462975593922,180.49663241123443,-4.207404642348376,-149.09462975593922
3.880059,0.221841,0.038447,0.228835,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.034061,0.266404,-0.963158,0.013974,-179.49614193303265,-4.189630972494507,-149.09614535044307,180.50385806696735,-4.189630972494507,-149.09614535044307
3.886079,0.221842,0.038624,0.229453,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.033914,0.266379,-0.96317,0.013993,-179.48943328439978,-4.173951445133325,-149.09946048758297,180.51056671560022,-4.173951445133325,-149.09946048758297
3.890068,0.221843,0.038805,0.230074,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.033805,0.266337,-0.963185,0.014008,-179.4842569478199,-4.162338834631444,-149.1046841107999,180.5157430521801,-4.162338834631444,-149.1046841107999
3.896071,0.221847,0.03899,0.230698,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.033712,0.266277,-0.963205,0.014035,-179.47816561086327,-4.152854001317579,-149.11213560616153,180.52183438913673,-4.152854001317579,-149.11213560616153
3.8984,0.221859,0.038607,0.230729,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.033688,0.265909,-0.963305,0.014177,-179.4601269710132,-4.15432992999243,-149.1565005761567,180.5398730289868,-4.15432992999243,-149.1565005761567
