x,y,z,roll,pitch,yaw
174.782,-572.936,1631.858,-102.412,54.37,-166.24
193.36,-566.505,1636.48,-100.858,54.205,-165.337
199.756,-565.029,1636.565,-100.222,54.452,-164.139
196.371,-557.42,1634.784,-99.43,55.15,-163.623
190.174,-560.121,1632.184,-100.338,56.104,-164.047
185.92,-560.581,1631.587,-100.51,56.687,-163.786
188.005,-552.513,1640.476,-100.295,55.624,-164.436
193.913,-546.087,1665.969,-98.355,52.779,-162.439
201.8,-541.842,1696.352,-99.068,51.015,-164.329
212.787,-538.433,1724.807,-100.079,48.324,-166.108
222.944,-537.029,1743.238,-99.471,45.554,-163.98
228.148,-540.677,1747.379,-99.881,44.487,-162.993
223.55,-546.007,1732.662,-99.957,46.26,-162.152
215.075,-551.972,1710.761,-99.447,47.693,-160.923
206.404,-555.798,1688.543,-98.011,49.798,-158.399
199.805,-558.618,1664.567,-98.06,52.074,-159.062
194.569,-558.236,1637.323,-98.834,54.702,-159.777
188.816,-560.05,1607.186,-98.725,57.27,-159.296
181.094,-562.99,1578.61,-100.102,61.091,-161.584
175.551,-562.853,1564.003,-98.488,62.918,-160.08
175.489,-560.963,1565.668,-99.122,63.031,-160.991
181.509,-557.742,1581.72,-101.173,61.343,-164.001
196.1,-550.09,1608.915,-104.389,58.466,-167.524
216.184,-538.896,1629.304,-108.05,55.698,-171.362
210.569,-563.823,1627.86,-108.248,51.463,-171.479
209.377,-567.709,1627.125,-102.338,43.919,-165.029
209.088,-570.407,1627.826,-98.53,43.1,-160.773
207.831,-571.119,1628.859,-101.341,52.592,-162.836
205.806,-570.546,1629.245,-111.159,65.856,-171.726
206.28,-570.499,1629.117,-106.254,61.372,-168.836
207.505,-570.294,1628.968,-98.738,53.399,-162.43
206.4,-571.038,1629.427,-101.848,59.893,-164.524
205.719,-571.673,1629.289,-107.518,63.089,-170.548
206.997,-571.741,1628.668,-104.768,55.318,-169.489
206.765,-571.857,1628.952,-103.717,56.731,-167.738
204.761,-573.426,1628.983,-117.373,65.898,106.407
207.718,-572.417,1628.409,-98.609,48.247,-168.433
204.748,-574.555,1629.665,-103.835,62.171,-173.705
200.6,-571.806,1625.344,-104.583,61.137,-171.079
188.304,-577.927,1619.15,-108.254,60.364,-170.947
183.159,-586.026,1616.928,-108.818,60.402,-169.563
192.716,-585.895,1620.681,-107.512,57.313,-168.961
194.913,-593.945,1618.485,-108.025,58.887,-167.254
