time,x,y,z,roll,pitch,yaw
21.137353,0.087921,0.049244,0.306083,179.27570873166655,-10.724651862088848,-173.5308740301519
21.141338,0.087686,0.049865,0.306031,179.78955147574194,-10.291415446338547,-173.28977063810802
21.149403,0.087676,0.049803,0.306062,179.8559303002001,-10.25790269156949,-173.30114387595833
21.151333,0.087675,0.049758,0.306079,179.89165127865328,-10.242789678330826,-173.3079055047343
21.156188,0.087677,0.0497,0.306098,179.93140830709632,-10.226870713434637,-173.31548843572918
21.159335,0.087535,0.049827,0.306114,-179.6421429640042,-9.899253074675206,-173.0609113323918
21.163478,0.087539,0.049774,0.30613,-179.60650156618723,-9.888801808654847,-173.06733840484063
21.169389,0.087546,0.049714,0.306148,-179.56792270472206,-9.875656774566604,-173.07392576392826
21.171339,0.087552,0.049654,0.306166,-179.52892797901325,-9.862762570989842,-173.08018290910928
21.175373,0.087559,0.049593,0.306184,-179.4882709814814,-9.849040923100404,-173.08645079515838
21.179478,0.087431,0.049689,0.306193,-179.15591806070069,-9.590629515098655,-172.93475880089218
21.183618,0.087438,0.049639,0.306208,-179.1208062757048,-9.579983020592007,-172.93906032656142
21.191384,0.087453,0.049549,0.306231,-179.0619949738123,-9.56976895037094,-172.94323681270535
21.195343,0.087462,0.04952,0.306235,-179.03554152417775,-9.572945878614924,-172.94083311677207
21.199361,0.087338,0.04911,0.306285,-178.5932434972894,-9.543525152812323,-172.82540168210403
21.203347,0.087354,0.049084,0.306283,-178.57132549333346,-9.55004719511421,-172.8221891162932
21.207367,0.087377,0.049051,0.306278,-178.5482376201097,-9.556413889475527,-172.8190756320303
21.211358,0.087408,0.049012,0.306273,-178.5256758159231,-9.560326701909187,-172.8161340747821
21.21535,0.087446,0.048966,0.306266,-178.50446439198578,-9.562184249076115,-172.8133941620661
21.219307,0.087369,0.048877,0.306283,-178.277592756547,-9.40465509214304,-172.7405126857037
21.225398,0.08742,0.048818,0.306276,-178.26210299904852,-9.400184870416483,-172.73769635457288
21.229342,0.087478,0.048753,0.306267,-178.25251405987046,-9.391547694566245,-172.73424947217816
21.235353,0.087617,0.0486,0.306251,-178.24335662698195,-9.369147299854168,-172.72623892501693
21.241343,0.087493,0.049042,0.306184,-177.81270903051896,-9.061961218888152,-172.70377286562464
21.243333,0.087568,0.048954,0.306177,-177.81259537897935,-9.048794480319762,-172.700593097942
21.247346,0.087649,0.048859,0.306171,-177.81171901766933,-9.036373210875235,-172.69749750141685
21.255362,0.087829,0.048643,0.306162,-177.80813747384784,-9.01480157963737,-172.6891649285828
21.259355,0.087213,0.05042,0.303776,174.33547204060076,-13.70565350665495,-174.84858198765056
21.263419,0.0875,0.050023,0.303751,174.3383916500604,-13.694898954806836,-174.8432950186042
21.267348,0.087807,0.049598,0.303727,174.34041329383788,-13.68430271974646,-174.83752242770194
21.271358,0.088134,0.049144,0.303702,174.3418006846275,-13.673592369063714,-174.83204089276623
21.279341,0.088687,0.049492,0.302451,170.82450618939782,-15.831038592417741,-175.01669380027653
21.283343,0.08916,0.048818,0.302402,170.82359714599423,-15.823586382990781,-175.00907897650274
21.287338,0.089659,0.048109,0.30235,170.82197844544453,-15.818907174480541,-174.99996450315626
21.291382,0.090184,0.047362,0.302293,170.82150313831198,-15.817362283890105,-174.99027926782009
21.299507,0.09125,0.0449,0.301658,168.6722828151897,-17.361027094547577,-175.83973818410078
21.303502,0.091903,0.043955,0.301567,168.6716827974318,-17.361749999113442,-175.8301339483384
21.307329,0.092586,0.042968,0.301467,168.6714788061272,-17.360540546778296,-175.8211333845663
21.311431,0.084953,0.051868,0.303235,170.105841770613,-17.04145209202839,-176.6640717753415
21.315318,0.084232,0.052591,0.303423,170.32187608945478,-16.95855423339025,-176.78921014848328
21.323313,0.083296,0.054208,0.303129,168.64924501683396,-18.067952470031575,-176.74404796425455
21.329318,0.083353,0.054059,0.303147,168.73184152818985,-18.023736537757,-176.79378825682858
21.331304,0.083412,0.053954,0.303152,168.7551135098428,-17.992467886975618,-176.81171961930315
21.335335,0.083487,0.053846,0.303146,168.75478203517824,-17.973082861892387,-176.81529153986972
21.345334,0.083401,0.05339,0.30298,167.62972259773505,-18.859547308526043,-177.39261496719888
21.349583,0.083564,0.053169,0.302951,167.61477405254772,-18.851381121223493,-177.3878596190403
21.353367,0.083758,0.052903,0.302916,167.59960613877303,-18.844943050303723,-177.38276232847286
21.355442,0.083984,0.052593,0.302873,167.58584060627533,-18.84052794013603,-177.3770826447068
21.359313,0.084141,0.053195,0.302704,169.97196629445622,-16.79519829361683,-176.13176371869937
21.367361,0.084674,0.052449,0.302608,169.94631728785566,-16.789486144774106,-176.11564167393112
21.371333,0.084981,0.052019,0.30255,169.93314531307226,-16.787318718751717,-176.1053772137649
21.377352,0.085316,0.05155,0.302487,169.92147398222002,-16.785653614401024,-176.0952872518767
21.381396,0.08545,0.052268,0.302609,171.86482296003584,-14.543637287887774,-175.31025940754148
21.389333,0.086121,0.051252,0.302493,171.84881664161952,-14.542495613155351,-175.29007303998745
21.391365,0.086489,0.050697,0.302428,171.84426304425648,-14.543093396452502,-175.2802788526091
21.395354,0.086881,0.05011,0.30236,171.84097463046936,-14.542478733671848,-175.27085670529027
21.40134,0.086831,0.04978,0.302494,172.4661095724959,-14.07280653026308,-175.11693012789326
21.40539,0.08724,0.049154,0.302427,172.4643111020426,-14.07088897725374,-175.10920175426057
21.407318,0.08767,0.048498,0.302355,172.4643600185056,-14.06766147537349,-175.1036524200614
21.413395,0.088121,0.047811,0.30228,172.46436940819518,-14.063394861920086,-175.10024617795662
21.415376,0.088592,0.047094,0.302202,172.46539699757898,-14.057900000480371,-175.09880077238603
21.421341,0.088223,0.048103,0.302241,173.3196665864211,-13.290134529707249,-175.10267647662386
21.425379,0.088685,0.047364,0.30217,173.32059042353703,-13.28401582551602,-175.10005675372057
21.431301,0.089664,0.045803,0.302023,173.32067744374086,-13.273090692057057,-175.0903550320602
21.437335,0.090181,0.04498,0.301946,173.32053020121504,-13.267293949557853,-175.08387357863833
21.441446,0.085166,0.052692,0.302953,174.65184027248418,-12.740426786021308,-175.41909012962466
21.445349,0.084718,0.053356,0.303046,174.82688720310517,-12.673449019934637,-175.4769191484931
21.449446,0.084558,0.053557,0.303097,174.93973229174853,-12.621994485027248,-175.51130963347046
